Target,Model,MUE,MUE_l,MUE_u,tau,tau_l,tau_u,r2,r2_l,r2_u
BACE,Crystal,1.0070245506781856,0.8173528967408628,1.2052193278465355,0.258791225670718,0.1623950085571192,0.3508972593543089,0.1874197153461687,0.1047003663855542,0.2828666072325136
BACE,HF3(Holo),1.0059414266563182,0.8300563073517958,1.1820553627785524,0.2076719712172428,0.1092523901133074,0.3041445477171816,0.1226900776474999,0.0508716376514646,0.215340372716472
BACE,HF3(Apo),0.9863856829488536,0.782798860633668,1.1942550235661311,0.3418600141576151,0.2438321343409294,0.4387242919448035,0.3251043012401684,0.2123022550572574,0.4508393195420147
BACE,HF3(Derivative),1.0072508902689556,0.7894989549146829,1.2406294508953168,0.2683760858807446,0.17063639086104,0.3656882961350815,0.2417985237893753,0.14586833230342,0.3554590045606941
CDK2,Crystal,0.6482143730372192,0.4520507408421887,0.8570188350063338,0.6166666666666666,0.4665216666666665,0.7665216666666665,0.539991060226867,0.3378643081557025,0.7448070045179799
CDK2,HF3(Holo),0.589330157431774,0.3957085571059501,0.7925367531436739,0.5666666666666667,0.4315016666666667,0.6981683333333334,0.6140145604593799,0.4125271759462577,0.805570282569851
CDK2,HF3(Apo),0.6054353731444572,0.3106199223698391,0.9268784661574592,0.5666666666666667,0.3782833333333332,0.7282833333333333,0.6739023573575509,0.4231716579656636,0.9206360837757432
CDK2,HF3(Derivative),0.5967894423473628,0.4173492907514042,0.7779667243986935,0.5166666666666667,0.3566716666666668,0.6733383333333334,0.4994279037676327,0.2971379506978968,0.7119346683334193
JNK1,Crystal,0.8582312944196324,0.6935177484373812,1.0260394759456877,0.7303123424717973,0.626291043830736,0.8267689417641705,0.7372849384113298,0.6101368159840611,0.8444684599348196
JNK1,HF3(Holo),0.4855373251814289,0.2966093422914744,0.6852141632592184,0.6825795096305035,0.541545217747646,0.8183956482271509,0.736601383593572,0.5276540132077766,0.9263815371027816
JNK1,HF3(Apo),0.6679344885462027,0.4956270108401918,0.848669147280394,0.6825795096305035,0.5650211795956512,0.7941387772338622,0.6791073580684923,0.5107719899568215,0.8285039872204146
JNK1,HF3(Derivative),0.7065960626246264,0.5348486274097768,0.8898730223897814,0.6730329430622447,0.5656951671953704,0.7757196316970637,0.7030202999428251,0.5305895275453256,0.8427091593732575
MCL1,Crystal,1.1794296468260117,1.0263825106935922,1.3390829550548515,0.5485183959095783,0.480267135114136,0.6150725036003882,0.501134973421816,0.4092678474661389,0.5909154494103201
MCL1,HF3(Holo),0.9599640820075268,0.8088409065024239,1.1129533918580594,0.5438699349272936,0.4716993242546382,0.6134773842143173,0.5392157753652228,0.4457460315560092,0.6298613960026174
MCL1,HF3(Apo),0.9705405571003431,0.7974875992640642,1.1516789841473296,0.3486345736713421,0.2526213093514018,0.4432082096250689,0.3104450457892401,0.1972594533460084,0.429728843618632
